date,gspc,oil
2015-12-01,2102.629883,42.97
2015-12-02,2079.51001,41.92
2015-12-03,2049.620117,42
2015-12-04,2091.689941,41.44
2015-12-05,2091.689941,41.44
2015-12-06,2091.689941,41.44
2015-12-07,2077.070068,39.69
2015-12-08,2063.590088,39.44
2015-12-09,2047.619995,39.04
2015-12-10,2052.22998,38.65
2015-12-11,2012.369995,36.99
2015-12-12,2012.369995,36.99
2015-12-13,2012.369995,36.99
2015-12-14,2021.939941,36.51
2015-12-15,2043.410034,37.66
2015-12-16,2073.070068,36.96
2015-12-17,2041.890015,36.29
2015-12-18,2005.550049,36.76
2015-12-19,2005.550049,36.76
2015-12-20,2005.550049,36.76
2015-12-21,2021.150024,35.34
2015-12-22,2038.969971,35.26
2015-12-23,2064.290039,35.79
2015-12-24,2060.98999,37.22
2015-12-25,2060.98999,37.22
2015-12-26,2060.98999,37.22
2015-12-27,2060.98999,37.22
2015-12-28,2056.5,37.08
2015-12-29,2078.360107,36.85
2015-12-30,2063.360107,35.65
2015-12-31,2043.939941,36.61
2016-01-01,2043.939941,36.61
2016-01-02,2043.939941,36.61
2016-01-03,2043.939941,36.61
2016-01-04,2012.660034,36.28
2016-01-05,2016.709961,35.56
2016-01-06,1990.26001,33.89
2016-01-07,1943.089966,33.57
2016-01-08,1922.030029,31.67
2016-01-09,1922.030029,31.67
2016-01-10,1922.030029,31.67
2016-01-11,1923.670044,30.14
2016-01-12,1938.680054,29.14
2016-01-13,1890.280029,28.58
2016-01-14,1921.839966,28.84
2016-01-15,1880.329956,28.8
2016-01-16,1880.329956,28.8
2016-01-17,1880.329956,28.8
2016-01-18,1880.329956,27.36
2016-01-19,1881.329956,27.36
2016-01-20,1859.329956,26.01
2016-01-21,1868.98999,27.59
2016-01-22,1906.900024,30.46
2016-01-23,1906.900024,30.46
2016-01-24,1906.900024,30.46
2016-01-25,1877.079956,29.82
2016-01-26,1903.630005,30.94
2016-01-27,1882.949951,31.83
2016-01-28,1893.359985,33.01
2016-01-29,1940.23999,33.14
